"ID","lv"
"ABAT_0001_I_0001_1","Esi sveicināts adaptīvajā pulsa uztveres testā!"
"ABAT_0002_I_0001_1","Šajā testā tiek novērtētas tavas pulsa uztveres spējas mūzikā.\\ Tu dzirdēsi dažus mūzikas fragmentus. Katrā  fragmentā kopā ar mūziku skanēs arī pīkstieni.\\Tev ir jānosaka, vai šie pīkstieni **IR** pulsā vai **NAV** pulsā"
"ABAT_0003_I_0001_1","Nospied 'Tālāk', lai dzirdētu dažus piemērus"
"ABAT_0004_I_0001_1","Piemērs - **IR** pulsā\\Šajā piemērā pīkstieni  **IR** pulsā"
"ABAT_0005_I_0001_1","Tavs pulsa uztveres IQ bija:"
"ABAT_0006_I_0001_1","Piemērs - **IR** pulsā\\Šajā piemērā pīkstieni **NAV** pulsā."
"ABAT_0007_I_0001_1","Pulsa uztveres IQ"
"ABAT_0008_I_0001_1","Testā pēc kārtas tiks atskaņotas viena mūzikas fragmenta divas versijas.\\Vienā versijā pīkstieni  **IR** pulsā, bet otrā versijā - **NAV** pulsā.\\ Tavs uzdevums ir noteikt, vai pīkstiens **IR** pulsā pirmajā vai otrajā versijā."
"ABAT_0009_I_0001_1","**Piemērs {{no_example}}/2**\\Kurā fragmentā pīkstiens **IR** pulsā?"
"ABAT_0010_I_0001_1","Pirmajā"
"ABAT_0011_I_0001_1","Pareizi"
"ABAT_0012_I_0001_1","**{{feedback}}**\\Spied 'Turpināt', lai izmēģinātu citu piemēru."
"ABAT_0013_I_0001_1","Nepareizi."
"ABAT_0014_I_0001_1","**{{feedback}}**\\Spied 'Atgriezties atpakaļ', lai izlasītu instrukcijas un vēlreiz izmēģinātu piemērus,\\vai spied 'Tālāk', lai pārietu pie galvenā testa. "
"ABAT_0015_I_0001_1","Otrajā"
"ABAT_0016_I_0001_1","Tagad tu pāriesi pie galvenā testa. Testa rezultāti tiks saglabāti.\\Tu nesaņemsi atgriezenisko saiti. Veiksmi!"
"ABAT_0017_I_0001_1","Jautājums **{{num_question}}** no **{{test_length}}**."
"ABAT_0018_I_0001_1","Tava pārlūkprogramma neatbalsta audio. Atvaino, šis tests nestrādās bez audio!"
"ABAT_0019_I_0001_1","Vienā mūzikas fragmentā pīkstieni **IR** pulsā, bet otrā tie **NAV** pulsā.\\Kurā fragmentā pīkstieni **IR** pulsā? Ja tu nezini, mēģini uzminēt!"
"ABAT_0020_I_0001_1","Tu esi pabeidzis pulsa uztveres testu!"
"ABAT_0021_I_0001_1","Tālāk"
"ABAT_0022_I_0001_1","Atgriezties atpakaļ"
"enter_p_id","Lūdzu, ievadi savu dalībnieka ID numuru"
"results_have_been_saved","Tavi rezultāti ir saglabāti"
"you_may_close_browser","Tagad tu vari aizvērt pārlūkprogrammas logu"
"demo_intro","Esi sveicināts **Adaptīvajā pulsa uztveres testā**!\\Šis tests pielāgojas tavam sniegumam. Ja tev viss izdodas, tev tiks doti sarežģītāki uzdevumi.\\Parasti šis pielāgošanās process dalībniekam netiek rādīts. Tomēr, lai to tev parādītu, mēs nodemonstrēsim tava snieguma rezultātus un atbilstošo grūtības pakāpi katrā izmēģinājuma reizē."
